No,Destination,LatLong,Rata-Rata Penggunaan,NUM_PEV,Unit_Cost
0,Megah Bikes Jakarta Selatan,"[-6.28497277039041, 106.826555628835]",1,4,21000000
1,SiCepat Ancol Barat,"[-6.12320532017461, 106.814355055628]",1,4,21000000
2,SiCepat Bandengan Selatan,"[-6.13698780779761, 106.795119011074]",3,4,21000000
3,SiCepat Batu Tulis,"[-6.62062833699647, 106.807791020287]",3,4,21000000
4,Sicepat Bekasi Bantargebang,"[-6.33650510047331, 106.99067333712]",1,4,21000000
5,Sicepat Bekasi Juanda,"[-6.16481901317699, 106.823310124225]",2,4,21000000
6,Sicepat Bekasi Setiadarma,"[-6.26612151653476, 107.055482021522]",4,8,37000000
7,SICEPAT BEKASI SETU,"[-6.33595108170593, 107.042177845103]",2,4,21000000
8,SiCepat Bekasi Tarumajaya,"[-6.15228008991173, 106.984582684087]",1,4,21000000
9,SiCepat Bekasi Utara,"[-6.20310753961968, 107.002750191644]",3,4,21000000
10,Sicepat Bogor Barat,"[-6.56955939826079, 106.755384025103]",4,8,37000000
11,SiCepat Bogor Bojong Gede,"[-6.474298569912, 106.786915582368]",2,4,21000000
12,Sicepat Bogor Cibinong,"[-6.46502850742906, 106.838457411075]",1,4,21000000
13,Sicepat Bogor Citeureup,"[-6.47696176817578, 106.882116114382]",2,4,21000000
14,Sicepat Bogor Sukaraja,"[-6.5367032953659, 106.806614370596]",6,8,37000000
15,SiCepat Bogor Tengah,"[-6.58351467284364, 106.794666596299]",2,4,21000000
16,SiCepat Bojong Menteng Bekasi,"[-6.29883500175154, 106.987010971319]",4,8,37000000
17,SiCepat Cengkareng Prima,"[-6.15783922386758, 106.73783713991]",6,8,37000000
18,SICEPAT CIGANJUR,"[-6.342075044619, 106.804104512307]",4,8,37000000
19,SiCepat Cilandak COD,"[-6.28267166820331, 106.806825817516]",5,8,37000000
20,SiCepat Cilandak Food,"[-6.26582164444339, 106.804207983902]",15,20,85000000
21,SiCepat Cipondoh,"[-6.19655711617386, 106.682548506436]",5,8,37000000
22,SiCepat Ciputat Timur Tangsel,"[-6.3115768142361, 106.731601967805]",6,8,37000000
23,Sicepat Condet,"[-6.279921493094, 106.855056411075]",9,12,53000000
24,SiCepat Depok Cargo 1,"[-6.43741671041006, 106.820766739911]",6,8,37000000
25,SiCepat Depok Cimpaeun,"[-6.40484588634561, 106.905367093253]",2,4,21000000
26,SiCepat Depok Cinere,"[-6.3966024433335, 106.890918284028]",2,4,21000000
27,SiCepat Depok Cipayung,"[-6.45053443800899, 106.801474997582]",5,8,37000000
28,SiCepat Depok Pangkalan Jati,"[-6.39664762372712, 106.89091063636]",2,4,21000000
29,SiCepat Depok Rangkapan Jaya,"[-6.40622052959181, 106.904184503759]",8,12,53000000
30,SiCepat Depok Tirtajaya,"[-6.42213635767226, 106.822648195733]",7,8,37000000
31,SiCepat Gambir,"[-6.16349140160211, 106.817131389025]",3,4,21000000
32,Sicepat Gandaria,"[-6.25617545730788, 106.789988760255]",13,20,85000000
33,SiCepat Grogol Petamburan,"[-6.16602574335026, 106.792325553289]",5,8,37000000
34,SiCepat Gudang Taman Tekno,"[-6.33082919962943, 106.680999277764]",1,4,21000000
35,SiCepat Gunung Sahari,"[-6.14911312150076, 106.835624741111]",9,12,53000000
36,SiCepat Jaka Sampurna Bekasi,"[-6.2450469108873, 106.966716812849]",7,8,37000000
37,Sicepat Jaksel Cilandak Barat,"[-6.28670626532829, 106.806847108666]",5,8,37000000
38,Sicepat Jakut Sungai Bambu,"[-6.13958364589035, 106.889638996759]",4,8,37000000
39,SiCepat Jati Asih Bekasi,"[-6.31088338230105, 106.953013767255]",6,8,37000000
40,SiCepat Jati Bening,"[-6.35249573280313, 106.936516619564]",2,4,21000000
41,SiCepat Jati Sampurna Bekasi,"[-6.3525101703187, 106.936518929241]",2,4,21000000
42,SiCepat Kalideres,"[-6.14515458184499, 106.702477056189]",4,8,37000000
43,Sicepat Karawaci,"[-6.19147673661942, 106.624215287764]",11,12,53000000
44,Sicepat Karawang,"[-6.26333214277933, 107.278291139992]",1,4,21000000
45,SiCepat Kebon Kelapa,"[-6.16359911506832, 106.822878881143]",2,4,21000000
46,Sicepat kelapa dua tangsel,"[-6.23289475821871, 106.613038534754]",3,4,21000000
47,SiCepat Kemanggisan,"[-6.18190378677525, 106.795464918701]",3,4,21000000
48,SiCepat Kembangan COD,"[-6.16537758514897, 106.724727551616]",4,8,37000000
49,SiCepat Koja,"[-6.13121471783757, 106.912206037634]",2,4,21000000
50,SiCepat Komplek Teluk Naga,"[-6.09658975989746, 106.638962427609]",2,4,21000000
51,Sicepat Mampang Prapatan,"[-6.25739989811887, 106.827898620683]",2,4,21000000
52,Sicepat Mandala Raya Tomang,"[-6.17638859584046, 106.799094133448]",2,4,21000000
53,SiCepat Mangga Besar,"[-6.14381051259538, 106.819939846566]",6,8,37000000
54,SiCepat Matraman,"[-6.19839718817416, 106.855429610464]",3,4,21000000
55,Sicepat Meruya Food,"[-6.19670417712246, 106.731812051873]",20,24,101000000
56,SiCepat Minangkabau Setiabudi,"[-6.21318869180186, 106.843517571627]",1,4,21000000
57,SiCepat Muara Kamal,"[-6.13070111580615, 106.727606645329]",2,4,21000000
58,SiCepat Mustika Jaya Bekasi,"[-6.31645747266917, 107.010012284104]",1,4,21000000
59,SiCepat Neglasari,"[-6.1349545887244, 106.628038709509]",3,4,21000000
60,SiCepat Pahedangan,"[-6.18156005736273, 106.795453010636]",2,4,21000000
61,SiCepat Pamulang,"[-6.34218046307739, 106.727621488462]",10,12,53000000
62,SiCepat Pancoran,"[-6.24935268916182, 106.844169339088]",4,8,37000000
63,SiCepat Pejaten Barat,"[-6.27367530560476, 106.839616707251]",4,8,37000000
64,SiCepat Pekayon Bekasi Selatan,"[-6.27921971548463, 106.973257502341]",5,8,37000000
65,Sicepat Pejaringan Gudang Baru,"[-6.12585906466554, 106.779494454433]",4,8,37000000
66,SiCepat Pesanggrahan,"[-6.25897720861542, 106.758784044178]",2,4,21000000
67,SiCepat Pluit 3,"[-6.12656195586406, 106.781938079208]",2,4,21000000
68,SiCepat Pondok Aren,"[-6.2598725038632, 106.746747309738]",4,8,37000000
69,SiCepat Pondok Labu,"[-6.31238849168467, 106.795816764426]",2,4,21000000
70,SiCepat Pulo Gadung,"[-6.21358635571545, 106.878771549634]",8,12,53000000
71,SiCepat Raden Inten,"[-6.22612810953601, 106.921631410844]",7,8,37000000
72,Sicepat Sri Sultan,"[-6.18963196215927, 106.966360764868]",2,4,21000000
73,SiCepat Sunter,"[-6.14992148486087, 106.887559062334]",2,4,21000000
74,SiCepat Taman Sari,"[-6.13722360899528, 106.820584884291]",1,4,21000000
75,SiCepat Tambun Selatan,"[-6.26595329488802, 107.055514555252]",2,4,21000000
76,Sicepat Tanah Abang Benhil,"[-6.20905876904394, 106.809940435383]",3,4,21000000
77,Sicepat Tangerang Jatiuwung,"[-6.20421203877704, 106.568648625216]",19,20,85000000
78,SICEPAT TANGGERANG PAKUHAJI,"[-6.18411904785199, 106.718183503041]",2,4,21000000
79,SiCepat Tanjung Priok,"[-6.14027253166165, 106.875278610774]",1,4,21000000
80,Sicepat Tebet Utara,"[-6.23798803188633, 106.842677924596]",4,8,37000000
81,Volta Roxy,"[-6.16661284474971, 106.802885169571]",2,4,21000000
